FICHA,CODIGO_PROGRAMA,PROGRAMA,NIVEL_FORMACION,FECHA_INICIO_FICHA,FECHA_FIN_FICHA,AÑO_APERTURA,MES_APERTURA,TRIMESTRE_APERTURA,DURACION_MAXIMA,DURACION_ETAPA_LECTIVA,DURACION_ETAPA_PRODUCTIVA,JORNADA,LINEA_TECNOLOGICA,TECNOLOGICA_DE_RED,PROGRAMA_ESPECIAL,AMPLIACION_COBERTURA,CONVENIO,ESTADO_FICHA,CUPO,TOTAL_MATRICULADOS,OCUPACION_CUPO,EN_TRANSITO,INDUCCION,FORMACION,CONDICIONADO,APLAZADO,RETIRO_VOLUNTARIO,CANCELADO,DESERCION_VIRT_COMP,CANCELAMIENTO_VIRT_COMP,POR_CERTIFICAR,CERTIFICADO,TRASLADADO,OTRO,TOTAL_DESERCION,TASA_DESERCION,TASA_CERTIFICACION
3238661,133100,CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS.,TÉCNICO,2025-06-03,2026-10-16,2025,6,2,2208,1344,864,DIURNA,CLIENTE,TECNOLOGÍAS DE GESTIÓN ADMINISTRATIVA Y SERVICIOS FINANCIEROS,ATENCION A INSTITUCIONES,NO,SIN CONVENIO,En ejecucion,30,30,1.0,0,0,19,0,0,0,11,0,0,0,0,0,0,11,0.3667,0.0
2774902,664212,EJECUCION DE PROGRAMAS DEPORTIVOS.,TÉCNICO,2023-07-10,2025-02-21,2023,7,3,2208,1344,864,NOCTURNA,CLIENTE,TECNOLOGÍAS DE SERVICIOS DE SALUD,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,30,21,0.7,0,0,11,0,0,3,3,0,0,0,4,0,0,6,0.2857,0.1905
3179477,522211,ELABORACION DE AUDIOVISUALES.,TÉCNICO,2025-03-21,2026-12-24,2025,3,1,2208,1344,864,MIXTA,TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES  GESTIÓN DE LA INFORMACIÓN,"TECNOLOGÍAS DE LA INFORMACIÓN, DISEÑO Y DESARROLLO DE SOFTWARE",ATENCION A INSTITUCIONES,NO,SIN CONVENIO,En ejecucion,35,25,0.7143,0,0,2,5,0,8,10,0,0,0,0,0,0,18,0.72,0.0
2822812,331120,ENFERMERIA.,TÉCNICO,2023-10-02,2025-04-26,2023,10,4,2640,1760,880,MIXTA,CLIENTE,TECNOLOGÍAS DE SERVICIOS DE SALUD,AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,25,25,1.0,0,0,8,1,0,1,1,0,0,0,14,0,0,2,0.08,0.56
3121575,331120,ENFERMERIA.,TÉCNICO,2024-11-18,2026-06-23,2024,11,4,2640,1760,880,MIXTA,CLIENTE,TECNOLOGÍAS DE SERVICIOS DE SALUD,ATENCION A INSTITUCIONES,NO,SIN CONVENIO,En ejecucion,25,19,0.76,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3230317,331120,ENFERMERIA.,TÉCNICO,2025-07-25,2027-02-28,2025,7,3,2640,1760,880,MIXTA,CLIENTE,TECNOLOGÍAS DE SERVICIOS DE SALUD,AULAS ABIERTAS,NO,SIN CONVENIO,En ejecucion,25,25,1.0,0,0,23,0,0,1,1,0,0,0,0,0,0,2,0.08,0.0
3361484,331120,ENFERMERIA.,TÉCNICO,2025-10-20,2027-05-25,2025,10,4,2640,1760,880,MIXTA,CLIENTE,TECNOLOGÍAS DE SERVICIOS DE SALUD,ATENCION A INSTITUCIONES,NO,SIN CONVENIO,En ejecucion,26,25,0.9615,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3413281,733302,MANEJO DE VIVEROS,TÉCNICO,2026-02-09,2027-05-09,2026,2,1,2200,1320,880,MIXTA,PRODUCCIÓN Y TRANSFORMACIÓN,TECNOLOGÍAS AGRÍCOLAS,AULAS ABIERTAS,NO,SIN CONVENIO,En ejecucion,27,26,0.963,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2774877,837501,MANTENIMIENTO DE EQUIPOS DE AIRE ACONDICIONADO Y REFRIGERACION,TÉCNICO,2023-07-10,2025-03-04,2023,7,3,2208,1344,864,NOCTURNA,PRODUCCIÓN Y TRANSFORMACIÓN,"TECNOLOGÍAS DE MANTENIMIENTO PREDICTIVO, PREVENTIVO Y  CORRECTIVO",AULAS ABIERTAS,NO,SIN CONVENIO,Terminada por fecha,30,20,0.6667,0,0,4,0,0,4,6,0,0,0,6,0,0,10,0.5,0.3
3066383,837501,MANTENIMIENTO DE EQUIPOS DE AIRE ACONDICIONADO Y REFRIGERACION,TÉCNICO,2024-10-15,2026-06-23,2024,10,4,2208,1344,864,NOCTURNA,PRODUCCIÓN Y TRANSFORMACIÓN,"TECNOLOGÍAS DE MANTENIMIENTO PREDICTIVO, PREVENTIVO Y  CORRECTIVO",AULAS ABIERTAS,NO,SIN CONVENIO,En ejecucion,25,25,1.0,0,0,23,0,0,2,0,0,0,0,0,0,0,2,0.08,0.0
